Movie_title,Movie_title-href,Title,Director_1,Director_2,Actor_1,Actor_2,Actor_3,writer_1,writer_2,plot_Keyword_1,Plot_keyWord_2,plot_keyword_3,Genre_1,Genre_2,Genre_3,Production_Company_1,Production_Company_2,production_company_3,Release_month,Certificate_link,Certificate_link-href,Certificate,award_link,award_link-href,Award_1,Number_of_IMDB_user_reviews,Number_of_IMDB_critic_reviews,Number_of_IMBb_ratings,IMDb_score,Award_1_status,award_2,Award_2_status,Popularity,total_award_nomination,Country,language_1,language_2,film_location_1
Samsara,http://www.imdb.com/title/tt0770802/?ref_=adv_li_tt,Samsara (2011),Ron Fricke,null,Ron Fricke,Puti Sri Candra Dewi,Puti Sri Candra Dewi,Ron Fricke,Mark Magidson,trippy,yellowstone national park,turkey the country,trippy,yellowstone national park,2 videos,Bali Film Center,Bang Singapore,Bullet Productions,28 February 2013 (New Zealand),,,,See more awards,http://www.imdb.com/title/tt0770802/awards?ref_=tt_awd,"American Cinema Editors, USA
 2013",73 user,113 critic,8.5,"25,631",null,"Central Ohio Film Critics Association
 2013",null,null,See more awards »,USA,None,null,Indonesia
The Act of Killing,http://www.imdb.com/title/tt2375605/?ref_=adv_li_tt,The Act of Killing (2012),Joshua Oppenheimer,Anonymous,Anwar Congo,Syamsul Arifin,Syamsul Arifin,Anwar Congo,Herman Koto,musical number,death squad,Crime,musical number,death squad,1 video,Final Cut for Real,Piraya Film A/S,Novaya Zemlya,Crime,See more,http://www.imdb.com/title/tt2375605/taglines?ref_=tt_stry_tg,null,,,,108 user,251 critic,8.2,"27,213",,,,null,"Another
      53 wins & 41 nominations.",UK,See more,English,"Medan, Indonesia"
After Porn Ends 2,http://www.imdb.com/title/tt5168832/?ref_=adv_li_tt,After Porn Ends 2 (2017),Bryce Wagoner,null,Ashley Adams,Lisa Ann,Lisa Ann,Ashley Adams,Brittany Andrews,porn,ex porn star,ex pornography actor,porn,ex porn star,ex pornography actor,WeBros Entertainment,Karbonshark,Pirates Entertainment,null,,,,null,,,4 user,5 critic,5.4,892,,,,null,null,USA,English,null,null
Kedi,http://www.imdb.com/title/tt4420704/?ref_=adv_li_tt,Kedi (2016),Ceyda Torun,null,Bülent Üstün,null,null,Bülent Üstün,null,city,cat,animal documentary,city,cat,1 video,Termite Films,null,null,null,See more,http://www.imdb.com/title/tt4420704/taglines?ref_=tt_stry_tg,null,,,,21 user,73 critic,7.9,"2,923",,,,"1,819
      ( 386)",See more awards »,Turkey,See more,null,"Istanbul, Turkey"
Catfish,http://www.imdb.com/title/tt1584016/?ref_=adv_li_tt,Catfish (2010),Henry Joost,Ariel Schulman,Yaniv Schulman,Henry Joost,Henry Joost,Yaniv Schulman,Ariel Schulman,deception,friendship,painting,deception,friendship,1 video,Supermarché,Hit The Ground Running Films,null,null,,,,See more awards,http://www.imdb.com/title/tt1584016/awards?ref_=tt_awd,"Central Ohio Film Critics Association
 2011",166 user,201 critic,7.1,"36,840",null,"Cinema Eye Honors Awards, US
 2011",null,null,See more awards »,USA,English,null,"Ishpeming, Michigan, USA"
Hot Girls Wanted,http://www.imdb.com/title/tt4382552/?ref_=adv_li_tt,Hot Girls Wanted (2015),Jill Bauer,Ronna Gradus,Brittany Huckabee,Rachel Bernard,Rachel Bernard,Brittany Huckabee,null,victimization porn,exploring sexuality,independent woman,victimization porn,exploring sexuality,1 video,Two to Tangle Productions,null,null,null,,,,See more awards,http://www.imdb.com/title/tt4382552/awards?ref_=tt_awd,"Primetime Emmy Awards
 2015",36 user,35 critic,6.1,"10,681",null,"Sundance Film Festival
 2015",null,null,"Another
      1 nomination.",USA,English,null,"Arlington, Texas, USA"
Beware the Slenderman,http://www.imdb.com/title/tt5329376/?ref_=adv_li_tt,Beware the Slenderman (2016),Irene Taylor Brodsky,null,Morgan Geyser,Angie Geyser,Angie Geyser,Morgan Geyser,Anissa Weier,internet,girl,Crime,internet,girl,52 news articles,HBO Documentary Films,Vermilion Films,null,Crime,,,,See more awards,http://www.imdb.com/title/tt5329376/awards?ref_=tt_awd,"Nantucket Film Festival
 2016",15 user,31 critic,6.3,"3,280",null,"SXSW Film Festival
 2016",null,null,See more awards »,English,See more,null,company contact information
Jackass: The Movie,http://www.imdb.com/title/tt0322802/?ref_=adv_li_tt,Jackass: The Movie (2002),Jeff Tremaine,null,Jeff Tremaine,Chris Pontius,Chris Pontius,Jeff Tremaine,Spike Jonze,stunt,panda,Comedy,stunt,panda,1837 news articles,Paramount Pictures,MTV Films,Dickhouse Productions,Comedy,,,,See more awards,http://www.imdb.com/title/tt0322802/awards?ref_=tt_awd,"Awards Circuit Community Awards
 2002",331 user,106 critic,6.6,"71,428",null,"Golden Schmoes Awards
 2002",null,"4,375
      ( 235)",See more awards »,USA,See more,null,"Amsterdam, Noord-Holland, Netherlands"
The Red Pill,http://www.imdb.com/title/tt3686998/?ref_=adv_li_tt,The Red Pill (2016),Cassie Jaye,null,Marc Angelucci,Richard Cassalata,Richard Cassalata,Marc Angelucci,Jack Barnes,misandry,f rated,gender,misandry,f rated,15 news articles,Jaye Bird Productions,null,null,null,,,,See more awards,http://www.imdb.com/title/tt3686998/awards?ref_=tt_awd,"Digital Hollywood Conference
 2017",96 user,17 critic,8.7,"4,605",null,"Idyllwild International Festival of Cinema
 2017",null,null,See more awards »,USA,English,null,null
F for Fake,http://www.imdb.com/title/tt0072962/?ref_=adv_li_tt,F for Fake (1973),Orson Welles,null,Orson Welles,François Reichenbach,François Reichenbach,Orson Welles,null,fraud,biographer,ibiza,fraud,biographer,119 news articles,Janus Film,SACI,null,null,,,,See more awards,http://www.imdb.com/title/tt0072962/awards?ref_=tt_awd,"Cinema Eye Honors Awards, US
 2016",50 user,76 critic,7.8,"11,438",null,"Cinema Eye Honors Awards, US
 2014",null,null,See more awards »,English,See more,null,null
GLOW: The Story of the Gorgeous Ladies of Wrestling,http://www.imdb.com/title/tt1559038/?ref_=adv_li_tt,GLOW: The Story of the Gorgeous Ladies of Wrestling (2012),Brett Whitcomb,null,Bradford Thomason,Angelina Altishin,Angelina Altishin,Bradford Thomason,null,null,null,null,Documentary,null,11 news articles,Connell Creations,Window Pictures,Woodcreek Faction Productions,null,null,,,,,,5 user,28 critic,7.3,869,,,,null,See more awards »,USA,English,null,"Las Vegas, Nevada, USA"
DC's Legends of Tomorrow: Their Time Is Now,http://www.imdb.com/title/tt5362352/?ref_=adv_li_tt,DC's Legends of Tomorrow: Their Time Is Now (2016),Greg Berlanti,Casper Crump,null,Franz Drameh,Franz Drameh,null,null,superhero,female superhero,immortal,superhero,female superhero,immortal,Hodder,null,null,TV Movie 19 January 2016,,,,null,,,11 user,null,7.3,"3,209",,,,null,null,English,See more,null,null
Catfish,http://www.imdb.com/title/tt1584016/?ref_=adv_li_tt,Catfish (2010),Henry Joost,Ariel Schulman,Yaniv Schulman,Henry Joost,Henry Joost,Yaniv Schulman,Ariel Schulman,deception,friendship,painting,deception,friendship,1 video,Supermarché,Hit The Ground Running Films,null,null,null,,,,,,166 user,201 critic,7.1,"36,840",,,,null,See more awards »,USA,English,null,"Ishpeming, Michigan, USA"
