movie_link,movie_link-href,movie_title,Duration,metacritic_movie_ranking_Awards,MetaScore_link,MetaScore_link-href,Number_of_critic_review,MetaScore,critic_review_positive,metacritic_review_mixed,metacritc_review_Negetive,User_review_link,User_review_link-href,user_ratings,metacrtic_user_Score,metaCrtic_user_review_positive,metacritic_user_review_mixed,metacritic_user_review_Negetive
Step,http://www.metacritic.com/movie/step,Step,83 min,#31 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/step/critic-reviews,based on 20 Critics,83,18,2,0,User Reviews,http://www.metacritic.com/movie/step/user-reviews,null,tbd,1,0,0
Escapes,http://www.metacritic.com/movie/escapes,Escapes,89 min,null,METASCORE,http://www.metacritic.com/movie/escapes/critic-reviews,based on 7 Critics,70,6,0,0,User Reviews,http://www.metacritic.com/movie/escapes/user-reviews,null,tbd,null,null,null
500 Years,http://www.metacritic.com/movie/500-years,500 Years,105 min,null,METASCORE,http://www.metacritic.com/movie/500-years/critic-reviews,based on 5 Critics,66,3,2,0,User Reviews,http://www.metacritic.com/movie/500-years/user-reviews,null,tbd,null,null,null
In Transit,http://www.metacritic.com/movie/in-transit,In Transit,76 min,#6 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/in-transit/critic-reviews,based on 9 Critics,90,9,0,0,User Reviews,http://www.metacritic.com/movie/in-transit/user-reviews,null,tbd,1,0,2
In Pursuit of Silence,http://www.metacritic.com/movie/in-pursuit-of-silence,In Pursuit of Silence,81 min,null,METASCORE,http://www.metacritic.com/movie/in-pursuit-of-silence/critic-reviews,based on 7 Critics,73,5,2,0,User Reviews,http://www.metacritic.com/movie/in-pursuit-of-silence/user-reviews,null,tbd,null,null,null
Swim Team,http://www.metacritic.com/movie/swim-team,Swim Team,90 min,null,METASCORE,http://www.metacritic.com/movie/swim-team/critic-reviews,based on 4 Critics,72,4,0,0,User Reviews,http://www.metacritic.com/movie/swim-team/user-reviews,null,tbd,null,null,null
Bronx Gothic,http://www.metacritic.com/movie/bronx-gothic,Bronx Gothic,91 min,null,METASCORE,http://www.metacritic.com/movie/bronx-gothic/critic-reviews,based on 4 Critics,66,3,1,0,User Reviews,http://www.metacritic.com/movie/bronx-gothic/user-reviews,null,tbd,null,null,null
Mali Blues,http://www.metacritic.com/movie/mali-blues,Mali Blues,90 min,null,METASCORE,http://www.metacritic.com/movie/mali-blues/critic-reviews,based on 4 Critics,85,3,1,0,User Reviews,http://www.metacritic.com/movie/mali-blues/user-reviews,null,tbd,null,null,null
School Life,http://www.metacritic.com/movie/in-loco-parentis,School Life,99 min,null,METASCORE,http://www.metacritic.com/movie/school-life/critic-reviews,based on 6 Critics,75,6,0,0,User Reviews,http://www.metacritic.com/movie/school-life/user-reviews,null,tbd,null,null,null
Rumble: The Indians Who Rocked The World,http://www.metacritic.com/movie/rumble-the-indians-who-rocked-the-world,Rumble: The Indians Who Rocked The World,103 min,#96 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/rumble-the-indians-who-rocked-the-world/critic-reviews,based on 9 Critics,74,8,1,0,User Reviews,http://www.metacritic.com/movie/rumble-the-indians-who-rocked-the-world/user-reviews,null,tbd,null,null,null
Trophy,http://www.metacritic.com/movie/trophy,Trophy,108 min,#35 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/trophy/critic-reviews,based on 7 Critics,82,6,1,0,User Reviews,http://www.metacritic.com/movie/trophy/user-reviews,null,tbd,null,null,null
The Wrong Light,http://www.metacritic.com/movie/the-wrong-light,The Wrong Light,78 min,null,METASCORE,http://www.metacritic.com/movie/the-wrong-light/critic-reviews,based on 4 Critics,54,1,2,null,User Reviews,http://www.metacritic.com/movie/the-wrong-light/user-reviews,null,tbd,null,null,null
Whose Streets?,http://www.metacritic.com/movie/whose-streets,Whose Streets?,90 min,#45 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/whose-streets/critic-reviews,based on 9 Critics,80,9,0,0,User Reviews,http://www.metacritic.com/movie/whose-streets/user-reviews,null,tbd,null,null,null
It's Not Yet Dark,http://www.metacritic.com/movie/its-not-yet-dark,It's Not Yet Dark,81 min,#82 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/its-not-yet-dark/critic-reviews,based on 8 Critics,75,8,0,0,User Reviews,http://www.metacritic.com/movie/its-not-yet-dark/user-reviews,null,tbd,1,0,0
