movie_link,movie_link-href,movie_title,Duration,metacritic_movie_ranking_Awards,MetaScore_link,MetaScore_link-href,Number_of_critic_review,MetaScore,critic_review_positive,metacritic_review_mixed,metacritc_review_Negetive,User_review_link,User_review_link-href,user_ratings,metacrtic_user_Score,metaCrtic_user_review_positive,metacritic_user_review_mixed,metacritic_user_review_Negetive
Samsara,http://www.metacritic.com/movie/samsara,null,null,null,null,,,,,,,,,,,,,
The Act of Killing,http://www.metacritic.com/movie/the-act-of-killing,The Act of Killing,115 min,#9 Best Movie of 2013,METASCORE,http://www.metacritic.com/movie/the-act-of-killing/critic-reviews,based on 30 Critics,89,27,2,null,User Reviews,http://www.metacritic.com/movie/the-act-of-killing/user-reviews,based on 97 Ratings,8.4,85,null,7
Samsara,http://www.metacritic.com/movie/samsara,null,null,null,null,,,,,,,,,,,,,
Tickled,http://www.metacritic.com/movie/tickled,Tickled,92 min,null,METASCORE,http://www.metacritic.com/movie/tickled/critic-reviews,based on 28 Critics,76,27,1,0,User Reviews,http://www.metacritic.com/movie/tickled/user-reviews,based on 16 Ratings,7.1,12,null,2
Citizenfour,http://www.metacritic.com/movie/citizenfour,Citizenfour,114 min,#15 Best Movie of 2014,METASCORE,http://www.metacritic.com/movie/citizenfour/critic-reviews,based on 38 Critics,88,37,1,0,User Reviews,http://www.metacritic.com/movie/citizenfour/user-reviews,based on 123 Ratings,7.6,97,null,12
Before the Flood,http://www.metacritic.com/movie/before-the-flood,Before the Flood,96 min,null,METASCORE,http://www.metacritic.com/movie/before-the-flood/critic-reviews,based on 10 Critics,63,6,4,0,User Reviews,http://www.metacritic.com/movie/before-the-flood/user-reviews,based on 44 Ratings,8,37,null,4
Kevin Hart: What Now?,http://www.metacritic.com/movie/kevin-hart-what-now,Kevin Hart: What Now?,96 min,null,METASCORE,http://www.metacritic.com/movie/kevin-hart-what-now/critic-reviews,based on 22 Critics,60,17,4,null,User Reviews,http://www.metacritic.com/movie/kevin-hart-what-now/user-reviews,based on 30 Ratings,4.5,11,null,13
Chasing Coral,http://www.metacritic.com/movie/chasing-coral,Chasing Coral,93 min,#12 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/chasing-coral/critic-reviews,based on 13 Critics,86,13,0,0,User Reviews,http://www.metacritic.com/movie/chasing-coral/user-reviews,based on 7 Ratings,5.9,4,null,2
City of Ghosts,http://www.metacritic.com/movie/city-of-ghosts-2017,City of Ghosts,92 min,#14 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/city-of-ghosts-2017/critic-reviews,based on 31 Critics,86,31,0,0,User Reviews,http://www.metacritic.com/movie/city-of-ghosts-2017/user-reviews,null,tbd,0,0,1
I Am Not Your Negro,http://www.metacritic.com/movie/i-am-not-your-negro,I Am Not Your Negro,93 min,#3 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/i-am-not-your-negro/critic-reviews,based on 36 Critics,95,36,0,0,User Reviews,http://www.metacritic.com/movie/i-am-not-your-negro/user-reviews,based on 105 Ratings,5.4,57,null,44
My Scientology Movie,http://www.metacritic.com/movie/my-scientology-movie,My Scientology Movie,99 min,null,METASCORE,http://www.metacritic.com/movie/my-scientology-movie/critic-reviews,based on 12 Critics,62,8,4,0,User Reviews,http://www.metacritic.com/movie/my-scientology-movie/user-reviews,based on 4 Ratings,5.3,2,null,1
My Scientology Movie,http://www.metacritic.com/movie/my-scientology-movie,My Scientology Movie,99 min,null,METASCORE,http://www.metacritic.com/movie/my-scientology-movie/critic-reviews,based on 12 Critics,62,8,4,0,User Reviews,http://www.metacritic.com/movie/my-scientology-movie/user-reviews,based on 4 Ratings,5.3,2,null,1
An Inconvenient Sequel: Truth to Power,http://www.metacritic.com/movie/an-inconvenient-sequel,An Inconvenient Sequel: Truth to Power,98 min,null,METASCORE,http://www.metacritic.com/movie/an-inconvenient-sequel-truth-to-power/critic-reviews,based on 30 Critics,67,24,6,0,User Reviews,http://www.metacritic.com/movie/an-inconvenient-sequel-truth-to-power/user-reviews,based on 13 Ratings,5.5,7,0,6
Get Me Roger Stone,http://www.metacritic.com/movie/get-me-roger-stone,Get Me Roger Stone,92 min,#92 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/get-me-roger-stone/critic-reviews,based on 8 Critics,75,6,2,0,User Reviews,http://www.metacritic.com/movie/get-me-roger-stone/user-reviews,based on 7 Ratings,8.4,6,0,0
Get Me Roger Stone,http://www.metacritic.com/movie/get-me-roger-stone,Get Me Roger Stone,92 min,#92 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/get-me-roger-stone/critic-reviews,based on 8 Critics,75,6,2,0,User Reviews,http://www.metacritic.com/movie/get-me-roger-stone/user-reviews,based on 7 Ratings,8.4,6,0,0
Amanda Knox,http://www.metacritic.com/movie/amanda-knox,Amanda Knox,92 min,#77 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/amanda-knox/critic-reviews,based on 17 Critics,78,14,3,0,User Reviews,http://www.metacritic.com/movie/amanda-knox/user-reviews,based on 26 Ratings,7.2,22,null,3
13th,http://www.metacritic.com/movie/13th,13th,100 min,#8 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/13th/critic-reviews,based on 23 Critics,90,23,0,0,User Reviews,http://www.metacritic.com/movie/13th/user-reviews,based on 99 Ratings,8,81,null,12
Before the Flood,http://www.metacritic.com/movie/before-the-flood,Before the Flood,96 min,null,METASCORE,http://www.metacritic.com/movie/before-the-flood/critic-reviews,based on 10 Critics,63,6,4,0,User Reviews,http://www.metacritic.com/movie/before-the-flood/user-reviews,based on 44 Ratings,8,37,null,4
The Nightmare,http://www.metacritic.com/movie/the-nightmare,The Nightmare,91 min,null,METASCORE,http://www.metacritic.com/movie/the-nightmare/critic-reviews,based on 18 Critics,68,11,7,0,User Reviews,http://www.metacritic.com/movie/the-nightmare/user-reviews,based on 20 Ratings,3.3,3,null,11
Citizenfour,http://www.metacritic.com/movie/citizenfour,Citizenfour,114 min,#15 Best Movie of 2014,METASCORE,http://www.metacritic.com/movie/citizenfour/critic-reviews,based on 38 Critics,88,37,1,0,User Reviews,http://www.metacritic.com/movie/citizenfour/user-reviews,based on 123 Ratings,7.6,97,null,12
The Imposter,http://www.metacritic.com/movie/the-imposter,The Imposter,95 min,#60 Best Movie of 2012,METASCORE,http://www.metacritic.com/movie/the-imposter/critic-reviews,based on 27 Critics,77,24,3,0,User Reviews,http://www.metacritic.com/movie/the-imposter/user-reviews,based on 44 Ratings,7.7,36,null,1
City of Ghosts,http://www.metacritic.com/movie/city-of-ghosts-2017,City of Ghosts,92 min,#14 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/city-of-ghosts-2017/critic-reviews,based on 31 Critics,86,31,0,0,User Reviews,http://www.metacritic.com/movie/city-of-ghosts-2017/user-reviews,null,tbd,0,0,1
My Scientology Movie,http://www.metacritic.com/movie/my-scientology-movie,My Scientology Movie,99 min,null,METASCORE,http://www.metacritic.com/movie/my-scientology-movie/critic-reviews,based on 12 Critics,62,8,4,0,User Reviews,http://www.metacritic.com/movie/my-scientology-movie/user-reviews,based on 4 Ratings,5.3,2,null,1
My Scientology Movie,http://www.metacritic.com/movie/my-scientology-movie,My Scientology Movie,99 min,null,METASCORE,http://www.metacritic.com/movie/my-scientology-movie/critic-reviews,based on 12 Critics,62,8,4,0,User Reviews,http://www.metacritic.com/movie/my-scientology-movie/user-reviews,based on 4 Ratings,5.3,2,null,1
The Imposter,http://www.metacritic.com/movie/the-imposter,The Imposter,95 min,#60 Best Movie of 2012,METASCORE,http://www.metacritic.com/movie/the-imposter/critic-reviews,based on 27 Critics,77,24,3,0,User Reviews,http://www.metacritic.com/movie/the-imposter/user-reviews,based on 44 Ratings,7.7,36,null,1
I Am Bolt,http://www.metacritic.com/movie/i-am-bolt,I Am Bolt,107 min,null,METASCORE,http://www.metacritic.com/movie/i-am-bolt/critic-reviews,based on 4 Critics,64,2,2,0,User Reviews,http://www.metacritic.com/movie/i-am-bolt/user-reviews,null,tbd,2,0,0
Chasing Coral,http://www.metacritic.com/movie/chasing-coral,Chasing Coral,93 min,#12 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/chasing-coral/critic-reviews,based on 13 Critics,86,13,0,0,User Reviews,http://www.metacritic.com/movie/chasing-coral/user-reviews,based on 7 Ratings,5.9,4,null,2
An Inconvenient Sequel: Truth to Power,http://www.metacritic.com/movie/an-inconvenient-sequel,An Inconvenient Sequel: Truth to Power,98 min,null,METASCORE,http://www.metacritic.com/movie/an-inconvenient-sequel-truth-to-power/critic-reviews,based on 30 Critics,67,24,6,0,User Reviews,http://www.metacritic.com/movie/an-inconvenient-sequel-truth-to-power/user-reviews,based on 13 Ratings,5.5,7,0,6
I Am Bolt,http://www.metacritic.com/movie/i-am-bolt,I Am Bolt,107 min,null,METASCORE,http://www.metacritic.com/movie/i-am-bolt/critic-reviews,based on 4 Critics,64,2,2,0,User Reviews,http://www.metacritic.com/movie/i-am-bolt/user-reviews,null,tbd,2,0,0
Step,http://www.metacritic.com/movie/step,Step,83 min,#31 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/step/critic-reviews,based on 20 Critics,83,18,2,0,User Reviews,http://www.metacritic.com/movie/step/user-reviews,null,tbd,1,0,0
Tickled,http://www.metacritic.com/movie/tickled,Tickled,92 min,null,METASCORE,http://www.metacritic.com/movie/tickled/critic-reviews,based on 28 Critics,76,27,1,0,User Reviews,http://www.metacritic.com/movie/tickled/user-reviews,based on 16 Ratings,7.1,12,null,2
The Act of Killing,http://www.metacritic.com/movie/the-act-of-killing,The Act of Killing,115 min,#9 Best Movie of 2013,METASCORE,http://www.metacritic.com/movie/the-act-of-killing/critic-reviews,based on 30 Critics,89,27,2,null,User Reviews,http://www.metacritic.com/movie/the-act-of-killing/user-reviews,based on 97 Ratings,8.4,85,null,7
13th,http://www.metacritic.com/movie/13th,13th,100 min,#8 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/13th/critic-reviews,based on 23 Critics,90,23,0,0,User Reviews,http://www.metacritic.com/movie/13th/user-reviews,based on 99 Ratings,8,81,null,12
Kevin Hart: What Now?,http://www.metacritic.com/movie/kevin-hart-what-now,Kevin Hart: What Now?,96 min,null,METASCORE,http://www.metacritic.com/movie/kevin-hart-what-now/critic-reviews,based on 22 Critics,60,17,4,null,User Reviews,http://www.metacritic.com/movie/kevin-hart-what-now/user-reviews,based on 30 Ratings,4.5,11,null,13
I Am Not Your Negro,http://www.metacritic.com/movie/i-am-not-your-negro,I Am Not Your Negro,93 min,#3 Best Movie of 2016,METASCORE,http://www.metacritic.com/movie/i-am-not-your-negro/critic-reviews,based on 36 Critics,95,36,0,0,User Reviews,http://www.metacritic.com/movie/i-am-not-your-negro/user-reviews,based on 105 Ratings,5.4,57,null,44
Step,http://www.metacritic.com/movie/step,Step,83 min,#31 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/step/critic-reviews,based on 20 Critics,83,18,2,0,User Reviews,http://www.metacritic.com/movie/step/user-reviews,null,tbd,1,0,0
Amy,http://www.metacritic.com/movie/amy-2015,Amy,128 min,#26 Best Movie of 2015,METASCORE,http://www.metacritic.com/movie/amy-2015/critic-reviews,based on 41 Critics,85,40,1,0,User Reviews,http://www.metacritic.com/movie/amy-2015/user-reviews,based on 153 Ratings,8.3,132,null,7
Nobody Speak: Trials of the Free Press,http://www.metacritic.com/movie/nobody-speak-trials-of-the-free-press,Nobody Speak: Trials of the Free Press,95 min,null,METASCORE,http://www.metacritic.com/movie/nobody-speak-trials-of-the-free-press/critic-reviews,based on 13 Critics,69,12,1,0,User Reviews,http://www.metacritic.com/movie/nobody-speak-trials-of-the-free-press/user-reviews,based on 5 Ratings,1.4,1,0,4
David Lynch: The Art Life,http://www.metacritic.com/movie/david-lynch-the-art-life,David Lynch: The Art Life,88 min,#85 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/david-lynch-the-art-life/critic-reviews,based on 17 Critics,75,16,1,0,User Reviews,http://www.metacritic.com/movie/david-lynch-the-art-life/user-reviews,null,tbd,3,0,0
David Lynch: The Art Life,http://www.metacritic.com/movie/david-lynch-the-art-life,David Lynch: The Art Life,88 min,#85 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/david-lynch-the-art-life/critic-reviews,based on 17 Critics,75,16,1,0,User Reviews,http://www.metacritic.com/movie/david-lynch-the-art-life/user-reviews,null,tbd,3,0,0
Blackfish,http://www.metacritic.com/movie/blackfish,Blackfish,83 min,#24 Best Movie of 2013,METASCORE,http://www.metacritic.com/movie/blackfish/critic-reviews,based on 33 Critics,83,33,0,0,User Reviews,http://www.metacritic.com/movie/blackfish/user-reviews,based on 113 Ratings,8.4,104,null,4
The Wolfpack,http://www.metacritic.com/movie/the-wolfpack,The Wolfpack,90 min,null,METASCORE,http://www.metacritic.com/movie/the-wolfpack/critic-reviews,based on 29 Critics,75,23,6,0,User Reviews,http://www.metacritic.com/movie/the-wolfpack/user-reviews,based on 17 Ratings,6.9,13,null,2
Whose Streets?,http://www.metacritic.com/movie/whose-streets,Whose Streets?,90 min,#45 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/whose-streets/critic-reviews,based on 9 Critics,80,9,0,0,User Reviews,http://www.metacritic.com/movie/whose-streets/user-reviews,null,tbd,null,null,null
David Lynch: The Art Life,http://www.metacritic.com/movie/david-lynch-the-art-life,David Lynch: The Art Life,88 min,#85 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/david-lynch-the-art-life/critic-reviews,based on 17 Critics,75,16,1,0,User Reviews,http://www.metacritic.com/movie/david-lynch-the-art-life/user-reviews,null,tbd,3,0,0
